,0
1036,درگاه حافظه
1037,نرخ تصویر
1038,سایز صفحه نمایش (اینچ)
1039,پنل تصویر
1040,وضوح تصویر
1041,رزولوشن
1042,نوع رم
1043,باس رم
1044,فرکانس پایه
1045,فرکانس افزایشی
1046,وزن (کیلوگرم)
1047,ابعاد (میلیمتر)
1048,Unnamed: 0.3
1049,Unnamed: 0.2
1050,Unnamed: 0.1
1051,Unnamed: 0
1052,
